"Story","Title","Result","Date","Stability","Duration (s)"
"Products","GET - Periksa API Semua Product dengan valid data","SUCCESS","2023-04-28T20:42:26.202+07:00[Asia/Bangkok]","0.0","2.95"
"Products","GET - Periksa API Semua Product dengan invalid data","SUCCESS","2023-04-28T20:42:29.163+07:00[Asia/Bangkok]","0.0","0.14"
